,Variable 0,Variable 1,Variable 2,Variable 3
192,1.78,600.82,26.01,110.88
193,2.0,587.18,28.87,154.24
194,3.72,574.76,27.61,169.47
195,3.39,611.59,24.56,107.67
196,2.11,564.94,22.51,89.44
197,2.08,599.82,24.28,107.44
198,3.81,567.94,26.39,115.56
199,2.69,556.0,29.23,119.75
200,2.2,553.59,32.31,164.65
201,2.59,395.82,27.58,152.88
202,2.42,449.35,26.92,133.75
203,2.99,409.88,27.57,152.76
204,3.4,517.06,30.54,71.76
205,3.65,444.44,22.06,88.0
206,2.99,377.88,19.22,65.19
207,2.04,507.65,22.29,84.69
208,1.74,555.59,24.84,127.94
209,2.77,390.76,26.08,158.5
210,1.56,395.12,26.95,144.56
211,1.79,536.88,31.43,149.5
212,3.71,301.59,25.82,87.29
213,2.84,172.56,19.92,45.5
214,4.37,472.71,24.81,90.81
215,3.96,174.12,21.31,42.25
216,5.61,540.12,19.39,70.75
217,5.02,409.94,21.67,87.0
218,2.11,446.65,22.08,82.59
219,7.46,265.69,22.19,57.69
220,4.95,349.76,17.2,51.12
221,2.75,309.88,17.63,52.35
222,2.34,494.94,22.92,77.94
223,1.55,528.88,28.32,118.35
224,4.12,351.29,25.15,137.59
225,2.15,294.94,24.13,129.41
226,1.68,430.06,26.82,144.18
227,1.47,417.06,26.81,118.88
228,2.31,369.44,27.0,131.56
229,3.98,439.29,27.24,134.38
230,4.76,100.82,15.22,27.0
231,3.08,187.18,15.62,65.0
232,1.99,278.65,18.47,66.94
233,2.65,60.94,15.26,33.14
234,2.68,302.71,19.2,88.76
235,3.62,335.24,16.15,66.65
236,3.5,300.31,18.65,90.31
237,4.93,170.29,12.95,52.69
238,3.11,229.88,14.58,53.63
239,2.46,327.24,16.93,75.44
240,2.51,146.0,14.24,24.5
241,1.57,168.06,13.75,23.44
242,1.25,289.41,15.11,39.44
243,2.13,430.94,19.51,97.18
244,1.77,452.82,20.85,94.71
245,3.31,395.25,18.24,94.25
246,3.66,481.29,17.11,73.25
247,3.18,364.57,18.5,102.23
248,2.94,335.59,15.64,63.56
249,5.44,350.82,20.9,99.81
250,4.75,235.0,15.27,73.0
251,5.68,163.76,11.33,56.24
252,4.02,104.88,13.96,25.24
253,2.75,226.82,16.37,64.47
254,6.52,235.65,13.16,60.44
255,6.94,273.76,14.65,56.88
256,1.61,233.06,14.33,29.71
257,2.0,259.71,13.17,39.75
258,1.65,389.94,15.61,68.81
259,1.12,344.94,17.86,89.94
260,1.64,204.35,19.65,33.53
261,2.2,58.24,16.37,6.31
262,2.02,236.94,16.73,47.63
263,2.03,354.69,21.81,95.13
264,2.54,101.0,11.85,36.38
265,2.71,309.65,14.38,45.13
266,3.17,304.94,18.87,67.13
267,2.4,219.35,16.28,60.31
268,2.93,245.81,10.99,42.94
269,1.14,327.06,12.46,23.56
270,1.08,324.65,13.39,36.75
271,1.09,312.59,13.79,21.75
272,2.11,309.41,20.08,3.63
273,1.05,230.18,18.72,1.81
274,1.12,258.06,20.59,15.21
275,0.96,133.71,17.42,3.82
276,1.88,121.94,16.71,2.88
277,1.57,247.24,17.62,35.35
278,3.25,261.65,16.12,15.88
279,2.58,152.47,13.8,35.88
280,5.92,223.94,11.84,50.47
281,5.99,303.82,9.91,49.35
282,1.99,292.18,10.99,32.47
283,1.37,222.38,11.59,10.46
284,2.34,204.94,13.94,25.35
285,2.76,217.94,14.44,32.41
286,5.18,123.82,11.32,39.71
287,4.99,94.65,12.37,48.29
288,5.02,143.71,8.46,50.06
289,5.75,132.53,9.39,51.18
290,5.21,86.59,11.28,32.94
291,3.59,63.65,9.06,68.44
292,2.99,263.65,10.11,69.13
293,3.03,373.12,9.71,75.25
294,3.05,442.76,9.95,80.19
295,2.23,368.06,10.86,85.88
296,2.16,464.06,13.91,104.19
297,2.12,419.29,15.26,103.63
298,2.94,310.59,15.94,122.76
299,4.32,569.12,17.18,122.82
300,4.56,425.59,18.55,112.82
301,2.87,53.18,12.3,56.12
302,2.13,181.35,12.21,21.88
303,2.46,134.88,12.51,35.0
304,4.04,448.94,11.6,69.53
305,2.89,279.41,9.23,61.53
306,3.28,310.12,10.45,56.35
307,2.59,263.12,12.84,89.06
308,1.69,368.06,15.17,104.76
309,1.98,495.0,18.21,117.76
310,3.18,411.12,21.1,90.59
311,3.94,444.12,22.19,97.41
312,4.81,469.31,13.82,73.75
313,3.4,434.71,12.9,77.76
314,3.54,361.47,15.36,82.65
315,2.02,132.29,11.62,62.53
316,2.28,528.59,18.64,95.82
317,3.65,585.82,21.39,124.07
318,5.64,585.65,20.99,116.53
319,4.97,517.12,22.68,117.12
320,2.06,582.71,24.65,147.88
321,3.58,622.59,21.96,123.29
322,2.1,620.35,21.97,127.24
323,7.46,416.94,17.27,96.82
324,4.21,429.41,13.65,83.53
325,1.96,592.88,17.21,97.71
326,3.45,228.76,14.65,63.63
327,2.32,255.06,15.79,61.65
328,3.58,300.0,16.06,70.47
329,3.04,183.0,17.52,92.88
330,5.97,485.71,18.61,99.0
331,5.03,554.47,18.38,126.58
332,3.1,532.76,23.35,139.44
333,5.16,252.82,17.6,83.31
334,5.47,392.18,17.11,74.13
335,2.61,637.12,24.84,142.56
336,1.92,241.76,15.64,96.31
337,1.37,92.88,11.72,25.76
338,5.35,507.65,15.01,107.0
339,4.5,302.35,15.27,90.69
340,2.6,137.75,11.74,50.0
341,1.96,423.94,19.86,93.38
342,1.88,521.94,27.03,169.75
343,1.95,578.0,24.11,118.94
344,4.78,358.12,21.19,75.75
345,3.99,272.69,22.85,55.67
346,5.55,303.82,21.81,67.81
347,7.8,473.18,18.02,96.82
348,5.06,299.0,13.71,73.82
349,4.51,335.82,16.29,85.82
350,4.37,626.19,29.81,160.86
351,4.54,592.69,28.43,164.8
352,5.91,471.47,27.44,146.56
353,5.07,573.88,30.52,146.29
354,4.46,603.41,30.88,166.81
355,4.48,621.82,31.46,138.76
356,3.16,594.62,28.51,175.92
357,2.55,477.29,26.94,107.47
358,3.43,547.82,29.92,162.35
359,1.55,589.6,32.21,211.93
360,4.87,509.63,30.87,208.44
361,2.7,528.35,26.86,175.75
362,3.71,301.41,18.96,75.0
363,4.56,527.18,22.52,120.75
364,3.86,588.82,23.29,126.19
365,3.15,465.76,22.89,127.13
366,2.24,322.94,21.84,135.88
367,5.49,558.47,23.39,85.71
368,3.21,335.29,20.01,89.94
369,2.34,435.06,22.41,134.59
370,2.23,564.59,25.22,152.35
371,1.91,607.0,29.58,200.6
372,3.39,239.06,19.48,89.5
373,5.54,437.76,20.33,77.56
374,3.85,443.76,19.32,76.38
375,1.53,283.0,20.09,105.5
376,4.34,568.41,25.75,141.75
377,5.08,564.12,28.11,142.38
378,4.11,487.76,29.12,158.19
379,2.56,243.18,20.54,83.82
380,3.36,208.0,18.66,73.12
381,3.02,364.29,23.77,134.82
382,2.11,329.29,25.48,191.71
383,2.2,457.82,27.03,177.12
384,1.65,536.0,29.12,180.76
385,2.69,537.18,31.85,239.2
386,2.15,494.71,33.76,220.29
387,3.59,315.53,26.03,135.18
388,1.98,290.29,22.53,87.0
389,2.19,548.94,27.39,196.88
390,3.83,535.18,30.09,163.35
391,4.07,437.12,26.98,93.47
392,3.05,491.94,26.0,170.06
393,2.79,502.88,26.8,186.88
394,1.88,505.47,27.14,191.29
395,3.91,481.47,29.36,182.19
396,6.45,454.35,25.58,114.69
397,3.32,330.47,20.66,115.13
398,3.56,497.0,20.61,73.33
399,2.26,426.2,23.83,124.2
400,2.11,524.13,27.15,148.6
401,3.11,547.4,32.05,164.33
402,2.17,324.47,22.45,98.88
403,2.36,362.41,23.66,130.59
404,1.37,381.53,23.45,121.47
405,2.52,505.76,25.62,141.06
406,3.01,522.94,25.36,131.35
407,1.52,445.59,25.22,146.71
408,5.62,524.82,22.89,119.82
409,4.64,518.0,23.74,122.35
410,4.31,515.29,26.29,145.41
411,3.32,508.0,27.88,132.71
412,1.77,476.47,26.16,126.29
413,2.07,481.94,26.96,170.54
414,2.35,511.88,28.0,159.81
415,2.29,467.65,26.79,169.94
416,2.32,192.06,18.68,50.06
417,2.41,279.12,16.76,96.31
418,2.19,445.71,20.46,86.5
419,1.42,485.24,23.65,98.27
420,2.02,430.35,26.05,86.75
421,3.21,283.75,24.04,137.31
422,6.07,426.69,22.16,89.93
423,1.68,416.24,21.88,116.71
424,1.64,413.41,23.08,117.76
425,1.34,291.41,20.7,67.41
426,1.62,365.65,23.45,127.59
427,3.32,97.94,19.24,78.06
428,5.95,196.24,15.31,65.82
429,3.26,275.06,20.99,69.53
430,3.01,360.35,25.32,114.25
431,2.58,64.35,15.97,15.44
432,5.04,234.24,14.06,55.88
433,1.82,82.47,12.22,19.69
434,1.22,136.24,14.62,25.38
435,2.95,188.94,16.12,47.44
436,4.86,274.12,16.58,86.75
437,7.27,184.47,13.66,56.5
438,1.45,367.65,16.53,77.94
439,1.25,349.41,17.85,39.29
440,0.88,309.29,18.15,81.88
441,2.84,58.94,12.52,40.88
442,0.99,136.35,15.02,8.29
443,1.54,138.41,14.6,19.06
444,1.76,236.24,15.27,12.06
445,1.69,242.53,18.11,32.69
446,4.22,284.94,16.01,45.06
447,1.38,91.65,12.76,3.06
448,2.21,62.18,12.36,22.18
449,2.56,262.29,14.24,9.18
450,0.88,172.0,14.4,1.71
451,2.0,277.59,16.71,27.0
452,5.18,51.29,10.25,39.69
453,7.41,129.06,9.49,51.31
454,4.55,219.47,8.28,41.19
455,3.34,142.59,7.19,48.31
456,3.21,174.12,6.69,38.88
457,1.37,171.29,6.54,20.53
458,2.96,110.76,7.16,4.29
459,1.12,40.41,8.51,0.12
460,2.07,90.0,9.99,2.94
461,4.58,271.35,8.76,48.24
462,3.21,261.29,8.68,48.0
463,3.06,201.76,6.71,27.36
464,2.56,245.06,7.11,32.71
465,2.06,197.59,5.26,15.35
466,2.62,178.59,6.54,11.47
467,4.5,244.9,14.0,99.9
468,2.7,117.8,9.6,75.1
469,2.8,255.1,13.3,104.9
470,5.0,428.6,15.9,99.5
471,2.1,366.2,17.0,107.9
472,2.1,533.1,20.0,127.5
473,2.2,513.4,20.0,119.8
474,7.6,437.2,20.5,113.3
475,4.8,218.7,13.7,95.1
476,3.7,282.3,15.0,97.5
477,7.9,263.8,12.4,76.1
478,3.5,523.3,18.3,105.8
479,2.1,563.8,24.3,122.2
480,4.7,572.8,29.1,125.2
481,3.8,568.2,27.8,161.5
482,3.1,515.4,27.4,169.5
483,3.9,597.3,21.7,124.9
484,5.7,571.8,22.1,112.9
485,7.2,581.6,22.9,126.8
486,8.1,573.6,23.9,132.4
487,2.5,531.9,22.5,107.9
488,3.8,559.4,23.7,131.3
489,5.3,505.6,26.1,141.7
490,2.6,513.9,24.3,146.2
491,1.9,586.2,25.3,157.3
492,3.8,380.9,23.0,130.7
493,4.9,500.1,23.1,135.3
494,5.4,583.9,26.1,131.9
495,2.7,359.5,21.5,125.6
496,2.6,391.5,24.5,145.6
497,4.3,505.8,25.7,148.4
498,1.9,360.2,24.6,115.1
499,2.7,365.3,23.3,95.2
500,2.7,109.9,18.1,60.9
501,3.2,285.5,17.8,78.8
502,2.7,112.6,14.6,23.1
503,1.8,381.8,18.4,87.4
504,1.8,483.2,19.7,95.5
505,2.7,324.4,18.0,79.3
506,1.8,259.9,17.5,57.7
507,3.5,441.4,19.2,76.8
508,4.0,445.1,21.1,107.8
509,3.8,399.5,23.1,117.4
510,1.5,461.9,24.3,135.6
511,3.5,612.9,28.1,150.5
512,5.1,499.5,27.2,151.9
513,5.5,460.6,22.8,88.1
514,3.1,345.7,22.0,98.8
515,2.8,130.2,11.4,21.3
516,1.9,260.6,17.9,39.3
517,2.8,589.3,21.7,120.4
518,4.3,554.6,24.7,116.5
519,2.5,239.8,22.1,92.0
520,3.5,414.1,22.5,93.2
521,1.9,192.6,19.7,80.1
522,1.8,320.0,21.4,54.9
523,4.0,632.7,25.9,134.4
524,4.5,626.8,27.0,130.1
525,3.3,597.2,28.0,127.3
526,1.9,527.9,28.9,184.6
527,2.5,437.3,23.6,122.3
528,2.5,550.2,26.0,121.2
529,2.2,388.4,25.6,142.1
530,3.4,227.5,17.9,71.1
531,1.5,180.9,16.4,46.7
532,2.2,274.4,16.9,44.5
533,2.2,99.8,15.5,18.9
534,3.2,343.5,21.6,80.5
535,2.5,525.1,27.0,124.9
536,2.7,297.4,19.5,83.8
537,2.7,339.1,17.7,75.1
538,4.1,369.8,18.1,61.7
539,3.8,552.6,22.9,88.5
540,5.9,351.5,22.3,52.3
541,1.8,345.1,18.6,66.8
542,1.9,539.9,26.4,102.1
543,3.7,465.5,28.1,153.2
544,2.0,505.9,28.3,139.6
545,2.8,485.9,22.9,101.6
546,5.5,552.6,29.1,136.5
547,2.3,542.8,23.7,104.6
548,3.8,563.2,27.8,135.1
549,3.3,534.8,31.9,171.4
550,3.3,457.6,29.6,157.1
551,4.3,538.8,25.2,119.1
552,1.1,390.0,24.4,71.0
553,2.1,517.5,29.9,209.9
554,1.6,493.1,32.5,236.6
555,1.5,483.9,34.2,285.8
556,1.7,519.6,34.6,205.6
557,4.3,207.8,18.1,80.9
558,2.7,367.6,22.8,105.3
559,3.9,405.8,23.9,97.6
560,4.2,93.4,16.1,43.5
561,5.1,195.9,17.1,63.9
562,1.4,510.0,19.5,91.9
563,1.9,443.5,23.9,141.4
564,4.3,288.3,24.2,98.1
565,2.2,510.7,29.6,139.7
566,2.3,472.7,30.3,186.8
567,1.7,359.8,29.2,161.9
568,1.8,441.1,25.8,122.5
569,1.4,394.7,26.0,139.9
570,4.7,298.9,20.2,78.1
571,3.0,166.9,19.2,49.3
572,4.7,506.9,29.0,124.8
573,2.2,355.2,29.2,138.9
574,3.2,483.2,28.3,89.3
575,4.0,443.4,33.1,151.9
576,3.6,158.8,23.0,80.7
577,4.5,389.9,23.9,93.1
578,7.6,371.1,14.1,69.9
579,3.0,391.1,20.1,83.6
580,5.6,200.7,17.5,50.4
581,5.3,192.5,10.4,53.4
582,4.5,113.0,12.1,62.8
583,2.3,506.1,16.5,110.3
584,2.2,468.5,20.4,81.8
585,3.4,353.7,17.2,79.2
586,1.7,459.9,19.4,75.0
587,3.5,340.2,20.3,65.7
588,2.0,389.2,23.6,101.9
589,1.9,388.1,20.0,91.6
590,2.8,418.3,21.7,108.7
591,4.5,99.6,14.4,44.7
592,3.6,286.0,19.2,60.8
593,2.5,406.5,21.5,99.5
594,2.8,414.1,22.6,85.8
595,1.9,381.8,22.6,99.9
596,1.2,101.4,16.7,11.9
597,1.2,175.1,16.5,56.3
598,1.9,356.3,23.0,95.4
599,3.6,370.6,26.0,92.8
600,1.8,199.9,18.0,29.2
601,1.5,315.8,18.9,62.4
602,4.2,369.9,19.6,49.5
603,2.2,375.2,21.5,66.2
604,2.5,361.6,24.5,87.0
605,3.3,163.6,16.8,40.2
606,2.8,51.0,14.2,13.5
607,2.7,242.5,17.1,67.9
608,2.0,262.2,17.7,63.8
609,1.1,192.8,15.2,42.7
610,2.8,105.1,14.9,37.1
611,7.9,145.1,16.6,99.8
612,5.3,225.5,17.1,51.6
613,2.3,74.2,11.0,3.2
614,1.9,131.8,13.5,9.5
615,1.6,119.9,14.9,21.1
616,2.4,122.1,13.9,20.9
617,5.4,81.3,10.9,31.4
618,2.6,275.1,12.3,52.9
619,6.0,167.4,11.4,37.9
620,4.0,314.0,10.7,49.4
621,3.3,196.0,10.1,30.8
622,7.2,156.0,10.0,63.6
623,2.7,212.2,7.6,48.1
624,1.6,58.3,3.9,9.4
625,3.1,202.8,7.1,54.8
626,3.4,214.2,9.8,39.2
627,1.4,184.1,11.0,9.8
628,4.3,127.4,9.0,40.2
629,4.5,113.4,6.4,32.2
630,4.0,53.8,7.2,19.8
631,6.6,212.2,6.2,57.1
632,4.1,50.7,7.6,44.9
633,6.5,114.4,7.7,38.4
634,2.3,69.9,6.9,10.8
635,3.2,37.8,6.8,42.6
636,7.5,186.1,9.6,60.6
637,3.1,157.2,6.7,18.1
638,1.2,164.6,4.9,12.2
639,3.33,470.12,20.72,119.0
640,3.22,344.82,17.72,112.18
641,2.76,149.29,15.46,60.47
642,5.14,413.35,16.3,86.13
643,3.77,113.82,10.45,35.25
644,4.0,91.24,9.26,32.69
645,2.11,402.88,20.04,87.44
646,4.39,550.59,23.67,126.25
647,2.87,506.94,24.41,123.06
648,2.47,524.59,25.39,114.0
649,3.95,495.82,26.26,125.58
650,2.5,440.53,21.41,117.12
651,2.25,293.94,16.37,76.06
652,3.28,295.94,16.12,78.29
653,2.5,404.47,18.57,105.82
654,1.81,500.47,18.52,108.71
655,2.36,592.71,25.46,129.53
656,2.22,508.29,26.05,133.12
657,2.59,541.94,23.94,123.35
658,2.67,523.94,25.31,132.53
659,2.74,87.24,10.78,40.53
660,1.71,620.71,19.48,113.24
661,1.97,609.35,23.46,130.88
662,2.44,538.59,26.12,141.88
663,1.61,552.06,27.48,155.36
664,2.0,551.94,29.17,160.76
665,2.98,490.76,21.59,88.71
666,4.63,343.29,15.82,72.18
667,1.82,549.18,21.22,113.19
668,4.67,352.41,20.11,99.0
669,5.48,378.06,17.82,77.44
670,1.84,564.47,23.28,101.0
671,3.21,234.71,18.78,79.06
672,3.09,279.88,17.31,53.33
673,2.9,258.94,20.07,62.31
674,3.34,534.18,27.4,141.75
675,1.64,592.71,28.81,151.24
676,2.82,491.88,27.62,157.71
677,3.19,615.71,28.72,137.88
678,3.89,620.35,30.81,159.29
679,2.18,383.35,25.86,140.06
680,4.04,122.53,17.58,64.41
681,5.4,279.24,15.95,67.71
682,3.71,214.35,15.19,56.65
683,4.53,276.76,18.01,62.12
684,3.11,157.18,15.85,29.59
685,3.96,399.56,21.56,95.5
686,4.24,459.19,18.94,63.4
687,3.56,584.93,24.44,114.29
688,4.18,564.8,28.62,143.47
689,3.35,402.14,19.49,84.5
690,2.29,241.29,21.17,70.38
691,2.69,436.82,21.88,106.0
692,3.82,562.18,18.76,69.81
693,2.1,458.18,19.65,90.56
694,2.42,371.65,19.19,111.71
695,5.54,488.0,21.88,86.53
696,2.94,457.82,19.37,70.0
697,5.49,649.76,25.3,97.65
698,2.17,633.12,27.14,123.35
699,3.12,627.06,28.93,144.88
700,1.91,606.53,28.7,174.75
701,3.55,581.35,28.52,195.88
702,1.95,580.24,29.75,212.19
703,2.95,442.76,29.81,158.31
704,3.82,292.65,17.67,50.4
705,4.51,424.12,21.55,99.31
706,1.95,649.71,23.17,101.31
707,2.89,612.24,27.79,164.29
708,4.16,198.71,15.98,70.12
709,3.26,301.47,16.71,70.53
710,5.19,458.82,15.84,62.24
711,3.68,357.88,17.01,73.24
712,3.34,108.24,14.61,36.76
713,3.68,239.12,18.9,43.47
714,4.78,482.94,26.76,99.88
715,3.76,412.59,24.88,86.41
716,1.73,420.12,24.1,94.41
717,3.47,323.65,21.64,66.82
718,5.07,320.56,18.45,84.45
719,3.09,370.12,18.52,71.88
720,2.31,372.76,16.41,76.5
721,4.61,404.65,21.22,101.69
722,3.08,527.35,26.09,110.31
723,6.17,468.69,19.24,75.06
724,6.26,446.59,19.0,64.18
725,5.17,325.47,19.76,66.0
726,3.92,121.71,17.39,24.69
727,1.95,587.35,27.65,113.06
728,2.04,518.24,31.82,174.13
729,5.99,415.0,18.9,78.0
730,1.76,585.76,23.98,96.06
731,2.87,579.53,26.85,129.69
732,2.86,513.75,28.05,149.85
733,1.48,424.88,26.46,131.67
734,3.04,417.29,25.92,116.63
735,4.82,536.59,21.82,93.69
736,1.69,559.88,24.35,116.75
737,2.09,382.12,23.35,124.06
738,4.29,459.35,22.79,98.69
739,5.86,321.06,18.18,54.75
740,4.74,504.18,21.64,78.71
741,3.65,537.82,25.91,100.88
742,1.92,573.65,23.35,78.76
743,1.51,496.0,28.94,155.29
744,3.69,503.24,26.96,129.82
745,1.79,526.29,28.58,126.35
746,3.61,468.79,26.07,125.6
747,2.92,506.82,24.47,111.5
748,2.34,492.41,25.97,148.38
749,3.06,525.41,26.08,188.25
750,3.15,528.0,28.72,164.38
751,5.14,371.41,29.89,150.75
752,2.01,86.12,13.5,17.5
753,1.41,301.35,16.85,61.69
754,1.92,399.41,19.31,78.88
755,1.62,498.06,20.89,87.53
756,3.55,205.71,19.08,71.0
757,2.6,287.06,16.19,64.88
758,1.78,435.29,19.56,84.35
759,5.21,392.71,20.03,96.53
760,3.56,271.18,16.41,35.2
761,2.17,433.53,19.71,58.41
762,2.06,345.59,19.06,58.59
763,3.8,209.82,15.09,33.35
764,2.42,192.24,12.12,34.29
765,2.85,319.65,13.57,59.0
766,2.65,506.47,18.31,60.41
767,1.49,336.59,20.61,52.47
768,4.55,241.65,20.39,43.12
769,2.58,97.94,16.01,10.59
770,4.45,314.88,19.07,58.24
771,2.4,244.0,17.84,60.94
772,2.04,380.18,18.14,67.0
773,4.02,126.19,14.38,36.69
774,7.31,317.71,18.72,53.69
