,event_type,time_stamp,node
156,0,38,263
157,2,38,263
158,0,39,263
159,2,39,263
160,0,39,141
161,2,39,141
162,2,40,141
163,9,41,348
164,8,41,348
165,5,41,324
166,9,41,324
167,7,41,348
168,4,41,110
169,14,41,348
170,4,42,406
171,8,42,348
172,0,43,381
173,7,43,21
174,11,44,21
175,6,44,263
176,0,44,263
177,2,44,263
178,4,44,404
179,2,44,263
180,0,45,141
181,2,45,141
182,2,45,141
183,9,47,348
184,8,47,348
185,5,47,324
186,9,47,324
187,7,47,348
188,7,47,348
189,16,47,348
190,4,48,406
191,0,48,381
192,6,49,263
193,0,49,263
194,4,49,404
195,0,50,11
196,2,50,11
197,13,50,11
198,6,50,11
199,0,50,141
200,16,50,348
201,7,50,348
202,8,51,348
203,4,53,406
204,0,54,381
205,3,54,400
206,5,54,210
207,9,54,210
208,6,54,263
209,0,54,263
210,3,54,400
211,2,55,263
212,0,55,263
213,6,55,11
214,0,55,11
215,4,55,404
216,3,55,400
217,4,55,404
218,2,55,263
219,0,55,141
220,2,55,141
221,5,56,457
222,10,56,457
223,3,56,400
224,2,56,141
225,3,56,400
226,3,57,400
227,3,57,400
228,10,58,457
229,3,58,400
230,9,58,348
231,8,58,348
232,5,58,324
233,9,58,324
234,7,58,322
235,11,58,322
236,16,58,348
237,3,59,400
238,8,59,348
239,4,59,406
240,16,59,348
241,3,59,400
242,8,59,348
243,0,59,381
244,9,59,348
245,8,59,348
246,18,59,59
247,5,59,324
248,9,60,324
249,14,60,348
250,3,60,400
251,6,60,263
252,0,60,263
253,2,60,263
254,3,60,400
255,2,60,263
256,4,60,404
257,4,61,404
258,0,61,141
259,2,61,141
260,7,61,154
261,6,61,154
262,13,61,154
263,2,61,154
264,2,61,141
265,11,61,154
266,0,62,227
267,0,63,3
268,0,63,376
269,7,63,3
270,3,63,400
271,0,63,443
272,2,63,227
273,3,63,400
274,6,64,3
275,3,64,400
276,2,64,443
277,4,64,406
278,3,64,400
279,0,65,381
280,6,65,263
281,0,65,263
282,4,66,404
283,0,66,141
284,2,66,141
285,4,66,404
286,1,66,95
287,3,66,95
288,2,67,141
289,0,68,3
290,3,68,400
291,3,68,400
292,6,68,154
293,3,69,400
294,5,69,210
295,3,69,400
296,9,69,210
297,4,70,406
298,3,70,400
299,0,70,381
300,9,70,210
301,5,70,210
302,6,71,263
303,0,71,263
304,3,71,400
305,2,71,263
306,3,71,400
307,2,71,263
308,4,71,404
309,0,71,141
310,2,72,141
311,3,72,400
312,4,72,404
313,2,72,141
314,3,72,400
315,3,75,400
316,4,75,406
317,0,75,381
318,6,76,263
319,0,76,263
320,8,76,348
321,2,76,263
322,5,76,324
323,2,76,263
324,0,77,141
325,4,77,404
326,2,77,141
327,2,77,141
328,4,77,404
329,4,77,404
330,7,80,322
331,11,80,322
332,5,81,457
333,10,81,457
334,0,81,381
335,4,81,406
336,6,81,263
337,1,81,121
338,3,81,121
339,0,81,263
340,1,81,38
341,3,81,38
342,3,81,42
343,1,81,42
344,3,81,462
345,1,81,462
346,2,82,263
347,3,82,296
348,1,82,296
349,0,82,141
350,2,82,263
351,2,82,141
352,4,82,404
353,3,83,173
354,1,83,463
355,1,83,173
356,3,83,463
357,1,83,70
358,3,83,70
359,2,83,154
360,21,83,154
361,13,83,154
362,3,83,205
363,1,83,205
364,3,83,394
365,1,83,394
366,2,83,141
367,4,83,110
368,4,83,110
369,4,84,110
370,4,85,110
371,4,85,110
372,4,86,110
373,0,86,381
374,4,86,406
375,6,87,263
376,0,87,263
377,2,87,263
378,4,87,110
379,2,87,263
380,4,87,110
381,0,88,141
382,2,88,141
383,4,88,404
384,2,88,141
385,4,88,404
386,0,92,381
387,4,92,406
388,6,92,263
389,0,92,263
390,2,92,263
391,0,93,141
392,4,94,404
393,4,94,110
394,0,97,381
395,4,97,406
396,6,97,263
397,0,98,263
398,2,98,263
399,2,98,263
400,0,98,141
401,2,99,141
402,4,99,404
403,2,99,141
404,4,99,404
405,1,102,361
406,3,102,361
407,0,102,381
408,6,103,263
409,0,103,263
410,4,103,406
411,2,103,263
412,6,103,29
413,13,103,29
414,5,103,449
415,7,103,29
416,2,103,29
417,2,103,263
418,0,104,141
419,2,104,141
420,2,104,141
421,4,105,404
422,6,107,99
423,13,107,99
424,7,107,99
425,2,107,99
426,11,107,99
427,0,108,381
428,6,108,263
429,0,108,263
430,4,108,406
431,0,109,141
432,2,109,141
433,7,110,29
434,2,110,141
435,4,110,404
436,1,110,150
437,1,110,234
438,3,110,150
439,3,110,234
440,1,110,67
441,3,110,67
442,3,110,99
443,1,110,99
444,1,110,258
445,3,110,258
446,3,110,122
447,1,110,122
448,1,110,445
449,3,110,445
450,1,110,211
451,3,110,211
452,3,110,135
453,1,110,135
454,3,110,317
455,3,110,271
456,1,110,317
457,1,110,271
458,5,111,449
459,7,111,29
460,4,111,404
461,3,111,156
462,1,111,156
463,3,111,112
464,1,111,112
465,1,111,43
466,3,111,468
467,3,111,43
468,1,111,264
469,1,111,468
470,3,111,264
471,1,111,431
472,3,111,213
473,1,111,95
474,3,111,6
475,1,111,213
476,3,111,95
477,1,111,6
478,3,111,431
479,1,112,332
480,3,112,332
481,1,112,419
482,3,112,419
483,3,112,12
484,1,112,278
485,3,112,438
486,1,112,438
487,3,112,278
488,1,112,12
489,3,112,379
490,1,112,379
491,1,112,273
492,3,112,273
493,3,112,90
494,1,112,90
495,1,112,247
496,3,112,247
497,3,112,294
498,1,112,280
499,1,112,414
500,1,112,263
501,3,112,307
502,3,112,280
503,3,112,414
504,3,112,263
505,1,112,307
506,1,112,294
507,1,112,19
508,3,112,388
509,3,112,432
510,3,112,19
511,1,112,388
512,1,112,432
513,3,112,218
514,1,112,372
515,1,112,218
516,3,112,372
517,19,112,139
518,7,112,139
519,13,112,43
520,6,112,43
521,7,112,43
522,7,112,139
523,18,112,324
524,10,112,139
525,21,112,43
526,11,112,139
527,2,112,43
528,11,112,43
529,7,112,449
530,11,112,449
531,13,113,258
532,2,113,258
533,11,113,29
534,0,113,381
535,6,114,263
536,0,114,263
537,2,114,263
538,4,114,406
539,11,114,43
540,6,114,99
541,2,114,263
542,0,115,258
543,0,115,141
544,6,115,258
545,2,115,141
546,8,115,348
547,5,115,324
548,11,115,139
549,7,115,21
550,9,115,348
551,9,115,324
552,11,115,21
553,2,115,141
554,4,116,404
555,11,116,139
556,8,116,348
557,5,116,324
558,11,116,43
559,4,116,404
560,11,116,139
561,11,116,43
562,6,117,29
563,18,117,414
564,0,118,127
565,4,118,110
566,4,118,110
567,4,118,110
568,0,119,381
569,2,119,127
570,4,119,110
571,6,119,194
572,7,119,194
573,13,119,194
574,18,119,348
575,5,119,68
576,9,119,68
577,9,119,194
578,2,119,194
579,0,119,263
580,6,119,263
581,14,119,194
582,2,119,263
583,2,119,263
584,4,120,406
585,13,120,414
586,2,120,414
587,0,120,141
588,2,120,141
589,2,120,141
590,4,121,414
591,4,121,404
592,4,122,404
593,11,122,449
594,6,122,43
595,9,122,348
596,8,122,348
597,5,122,324
598,9,122,324
599,6,123,414
600,8,123,384
601,9,123,384
602,7,123,384
603,0,124,381
604,5,124,260
605,9,124,260
606,9,124,449
607,8,124,449
608,4,124,110
609,14,124,449
610,15,124,449
611,6,124,194
612,6,125,263
613,0,125,263
614,2,125,263
615,4,125,406
616,0,125,141
617,2,125,263
618,2,126,141
619,8,126,384
620,8,126,384
621,9,126,384
622,2,126,141
623,4,127,404
624,7,127,29
625,5,127,449
626,11,127,29
627,4,127,404
628,6,128,29
629,13,128,29
630,5,128,449
631,7,128,29
632,8,128,449
633,2,128,29
634,11,128,29
635,8,129,449
636,5,129,449
637,1,129,150
638,3,129,150
639,0,129,381
640,6,130,263
641,0,130,263
642,2,130,263
643,2,130,263
644,4,131,406
645,0,131,141
646,2,131,141
647,2,131,141
648,4,132,404
649,18,134,298
650,6,134,29
651,0,135,381
652,0,135,263
653,6,135,263
654,4,136,406
655,0,136,141
656,19,137,449
657,10,137,449
658,5,137,457
659,4,138,404
660,3,138,439
661,1,138,439
662,1,138,241
663,3,138,198
664,3,138,241
665,1,138,198
666,4,138,404
667,7,139,56
668,11,139,56
669,0,140,381
670,6,141,263
671,0,141,263
672,9,141,451
673,5,141,451
674,2,141,263
675,7,141,451
676,9,141,451
677,5,141,451
678,5,141,451
679,9,141,451
680,8,141,451
681,8,141,348
682,5,141,324
683,9,141,324
684,9,141,348
685,16,141,348
686,7,141,348
687,2,142,263
688,0,142,141
689,4,142,406
690,2,142,141
691,2,142,141
692,4,143,404
693,18,144,348
694,8,144,194
695,5,144,68
696,6,144,194
697,9,144,68
698,7,144,194
699,13,144,194
700,9,144,194
701,2,144,194
702,5,144,68
703,23,144,194
704,9,144,194
705,9,144,68
706,15,144,194
707,8,144,194
708,23,144,68
709,14,144,194
710,7,145,54
711,9,145,54
712,15,145,54
713,9,145,54
714,8,145,54
715,16,145,54
716,9,145,54
717,5,145,54
718,7,145,54
719,1,145,455
720,3,145,455
721,3,145,235
722,1,145,235
723,0,146,381
724,6,146,263
725,0,146,263
726,0,146,263
727,2,146,263
728,2,147,263
729,0,147,141
730,2,147,141
731,4,147,406
732,2,147,141
733,20,148,59
734,7,148,283
735,20,148,283
736,5,148,59
737,7,148,283
738,5,148,59
739,7,148,283
740,5,148,59
741,4,149,404
742,7,149,283
743,8,149,451
744,7,149,451
745,9,149,451
746,5,149,59
747,4,149,404
748,5,149,451
749,9,149,451
750,16,149,283
751,5,149,59
752,7,149,283
753,6,150,194
754,0,151,381
755,5,151,451
756,9,151,451
757,7,151,451
758,9,151,451
759,5,151,451
760,6,151,263
761,0,151,263
762,1,152,235
763,3,152,235
764,7,152,283
765,8,152,283
766,5,152,59
767,0,152,141
768,13,152,283
769,6,152,283
770,7,152,283
771,5,152,59
772,2,152,283
773,2,153,141
774,5,153,283
775,8,153,59
776,4,153,406
777,5,153,54
778,9,153,54
779,1,153,342
780,3,153,342
781,3,153,31
782,1,153,31
783,8,153,59
784,3,153,455
785,1,153,455
786,8,153,54
787,7,153,54
788,15,153,54
789,2,153,141
790,4,154,404
791,4,155,404
792,4,155,404
793,8,155,54
794,9,155,54
795,7,155,54
796,15,155,54
797,8,155,54
798,9,155,54
799,7,155,54
800,5,155,54
801,7,156,59
802,5,156,283
803,8,156,283
804,20,156,59
805,20,156,283
806,5,156,59
807,0,156,381
808,0,157,263
809,6,157,263
810,2,157,263
811,6,157,283
812,2,158,263
813,0,158,141
814,5,158,68
815,8,158,194
816,18,158,348
817,9,158,194
818,9,158,68
819,13,158,194
820,6,158,194
821,7,158,194
822,2,158,194
823,2,158,141
824,8,158,68
825,4,158,406
826,2,158,141
827,4,160,404
828,8,160,348
829,9,161,451
830,16,161,348
831,7,161,451
832,7,161,348
833,8,161,348
834,9,161,348
835,5,161,324
836,7,161,348
837,9,161,324
838,0,162,381
839,6,162,263
840,0,162,263
841,2,162,263
842,2,163,263
843,6,163,194
844,8,163,210
845,9,163,210
846,8,163,348
847,0,163,141
848,2,163,141
849,5,163,457
850,10,164,457
851,10,164,457
852,4,164,406
853,9,164,54
854,5,164,54
855,4,165,404
856,4,166,404
857,0,167,381
858,6,168,263
859,0,168,263
860,0,169,141
861,2,169,141
862,4,169,406
863,2,169,141
864,4,171,404
865,8,171,348
866,9,171,348
867,9,171,324
868,5,171,324
869,16,172,348
870,7,172,348
871,0,173,381
872,6,173,263
873,0,173,263
874,2,173,263
875,2,174,263
876,0,174,141
877,2,174,141
878,2,174,141
879,8,175,348
880,9,175,348
881,5,175,324
882,16,175,348
883,9,175,324
884,7,175,348
885,4,175,406
886,8,176,348
887,9,176,348
888,5,176,324
889,9,176,324
890,16,176,348
891,7,176,348
892,4,176,404
893,0,178,381
894,6,178,263
895,0,178,263
896,2,179,263
897,2,179,263
898,8,179,348
899,9,179,348
900,5,179,324
901,9,179,324
902,16,179,348
903,7,179,348
904,0,179,141
905,2,180,141
906,4,180,406
907,2,180,141
908,3,182,150
909,1,182,150
910,4,182,404
911,0,183,381
912,6,184,263
913,0,184,263
914,2,184,263
915,2,185,263
916,0,185,141
917,2,185,141
918,2,185,141
919,4,186,406
920,4,188,404
921,4,188,404
922,0,189,381
923,6,189,263
924,0,189,263
925,2,189,263
926,2,190,263
927,0,190,141
928,2,190,141
929,2,190,141
930,4,191,406
931,4,193,404
932,4,193,404
933,0,194,381
934,6,195,263
935,0,195,263
936,6,195,283
937,8,195,283
938,5,195,59
939,2,195,263
940,2,195,263
941,0,196,141
942,9,196,451
943,7,196,451
944,9,196,451
945,5,196,451
946,2,196,141
947,9,196,451
948,5,196,451
949,2,197,141
950,3,197,95
951,1,197,95
952,4,197,406
953,4,199,404
954,5,200,54
955,9,200,54
956,6,200,283
957,9,200,54
958,8,200,54
959,0,200,381
960,8,200,54
961,9,200,54
962,7,200,54
963,6,200,263
964,0,200,263
965,2,200,263
966,2,201,263
967,0,201,141
968,2,201,141
969,2,202,141
970,4,202,406
971,4,204,404
972,4,204,404
973,0,205,381
974,6,205,263
975,0,205,263
976,2,205,263
977,2,206,263
978,0,207,141
979,20,207,283
980,5,207,283
981,20,207,59
982,8,207,59
983,16,207,59
984,7,207,59
985,4,208,406
986,4,210,404
987,5,210,283
988,7,210,59
989,4,210,404
990,0,211,381
991,6,211,263
992,0,211,263
993,0,212,141
994,2,212,141
995,5,212,283
996,8,212,59
997,16,212,59
998,7,212,59
999,2,212,445
1000,13,212,445
1001,0,212,445
1002,2,213,141
1003,5,213,283
1004,8,213,59
1005,7,213,59
1006,4,214,406
1007,4,215,404
1008,4,216,404
1009,0,216,381
1010,6,216,263
1011,0,216,263
1012,2,216,263
1013,2,217,263
1014,0,217,141
1015,0,217,445
1016,2,218,141
1017,2,218,141
1018,4,219,406
1019,4,221,404
1020,4,221,404
1021,0,221,381
1022,0,221,263
1023,6,221,263
1024,0,222,263
1025,2,222,263
1026,2,222,263
1027,0,223,141
1028,2,223,141
1029,2,224,141
1030,4,225,406
1031,4,226,404
1032,4,227,404
1033,0,227,381
1034,6,227,263
1035,0,227,263
1036,2,227,263
1037,2,228,263
1038,0,228,141
1039,2,228,141
1040,2,229,141
1041,4,230,406
1042,4,232,404
1043,4,232,404
1044,0,232,381
1045,6,232,263
1046,0,232,263
1047,2,232,263
1048,2,233,263
1049,0,234,141
1050,4,236,406
1051,4,237,404
1052,0,238,381
1053,4,238,404
1054,6,238,263
1055,0,238,263
1056,2,238,263
1057,5,239,283
1058,20,239,283
1059,20,239,59
1060,8,239,59
1061,7,239,59
1062,0,239,141
1063,2,239,141
1064,2,240,141
1065,3,241,32
1066,1,241,32
1067,3,241,124
1068,1,241,124
1069,1,241,239
1070,3,241,239
1071,1,241,327
1072,3,241,327
1073,1,241,425
1074,3,241,425
1075,3,241,442
1076,1,241,442
1077,4,241,406
1078,3,242,349
1079,1,242,349
1080,1,242,387
1081,3,242,387
1082,3,242,224
1083,1,242,224
1084,3,242,346
1085,1,242,346
1086,3,242,292
1087,1,242,292
1088,3,242,39
1089,1,242,39
1090,6,242,327
1091,13,242,327
1092,7,242,327
1093,21,242,327
1094,11,242,327
1095,3,242,188
1096,1,242,188
1097,3,242,350
1098,1,242,350
1099,2,242,327
1100,4,243,404
1101,0,243,381
1102,6,243,263
1103,0,243,263
1104,2,243,263
1105,1,243,201
1106,3,243,201
1107,2,244,263
1108,0,244,141
1109,2,244,141
1110,2,245,141
1111,5,246,457
1112,4,247,406
1113,5,248,451
1114,9,248,451
1115,0,248,381
1116,4,248,404
1117,3,248,147
1118,1,248,147
1119,3,248,149
1120,1,248,149
1121,6,249,263
1122,0,249,263
1123,4,249,404
1124,2,249,263
1125,2,249,263
1126,5,249,457
1127,1,250,39
1128,3,250,39
1129,3,250,346
1130,1,250,292
1131,1,250,346
1132,3,250,292
1133,0,250,141
1134,1,251,349
1135,3,251,349
1136,8,251,348
1137,9,251,348
1138,5,251,324
1139,9,251,324
1140,16,252,348
1141,8,252,54
1142,9,252,54
1143,7,252,54
1144,7,252,348
1145,15,252,54
1146,3,252,201
1147,1,252,201
1148,4,252,406
1149,1,252,272
1150,3,252,272
1151,3,253,224
1152,1,253,224
1153,3,253,387
1154,1,253,387
1155,6,253,327
1156,0,254,381
1157,8,254,348
1158,4,254,404
1159,6,254,263
1160,0,254,263
1161,4,254,404
1162,1,255,188
1163,3,255,188
1164,0,255,141
1165,2,255,141
1166,2,256,141
1167,4,258,406
1168,18,259,26
1169,18,259,51
1170,18,259,26
1171,18,259,51
1172,0,259,381
1173,6,259,263
1174,0,259,263
1175,4,259,404
1176,2,259,263
1177,0,260,263
1178,2,260,263
1179,0,260,141
1180,2,261,141
1181,2,261,141
1182,8,261,56
1183,9,261,56
1184,15,261,56
1185,8,262,56
1186,9,262,56
1187,1,262,188
1188,1,262,224
1189,4,263,406
1190,1,263,349
1191,3,263,349
1192,8,264,56
1193,9,264,56
1194,7,264,56
1195,15,264,56
1196,5,264,457
1197,10,264,457
1198,0,264,381
1199,3,265,346
1200,1,265,346
1201,3,265,201
1202,1,265,201
1203,6,265,263
1204,5,265,457
1205,0,265,263
1206,10,265,457
1207,2,265,263
1208,4,265,404
1209,2,265,263
1210,5,266,457
1211,10,266,457
1212,0,266,141
1213,1,266,39
1214,2,266,141
1215,20,267,283
1216,20,267,59
1217,8,267,59
1218,5,267,283
1219,8,267,59
1220,2,267,141
1221,5,267,283
1222,3,267,149
1223,1,267,149
1224,4,269,406
1225,1,270,346
1226,0,270,381
1227,6,270,263
1228,0,270,263
1229,2,270,263
1230,4,270,404
1231,10,271,457
1232,3,271,349
1233,1,271,349
1234,4,271,404
1235,3,271,387
1236,1,271,387
1237,3,271,224
1238,1,271,224
1239,2,271,263
1240,0,271,141
1241,2,271,141
1242,2,272,141
1243,3,273,201
1244,1,273,201
1245,5,274,56
1246,9,274,56
1247,8,274,56
1248,7,274,56
1249,8,274,56
1250,7,274,56
1251,9,274,56
1252,4,274,406
1253,15,274,56
1254,9,274,56
1255,7,274,56
1256,3,275,272
1257,1,275,272
1258,0,275,381
1259,0,275,263
1260,6,275,263
1261,2,276,263
1262,1,276,346
1263,3,276,346
1264,3,276,149
1265,1,276,149
1266,4,276,404
1267,1,276,39
1268,2,276,263
1269,4,276,404
1270,4,276,404
1271,0,277,141
1272,2,277,141
1273,2,277,141
1274,1,277,198
1275,3,277,198
1276,3,277,439
1277,1,277,439
1278,3,277,241
1279,1,277,241
1280,0,277,424
1281,0,278,127
1282,7,278,56
1283,11,278,56
1284,2,278,424
1285,3,278,198
1286,2,279,127
1287,4,280,406
1288,0,281,381
1289,6,281,263
1290,0,281,263
1291,2,281,263
1292,4,282,404
1293,4,282,404
1294,0,282,141
1295,1,282,147
1296,3,282,147
1297,2,282,141
1298,2,283,141
1299,1,283,349
1300,3,283,349
1301,3,284,188
1302,1,284,188
1303,4,285,406
1304,5,285,210
1305,9,285,210
1306,0,286,381
1307,0,286,263
1308,6,286,263
1309,2,286,263
1310,9,287,210
1311,5,287,210
1312,4,287,404
1313,2,287,263
1314,0,287,141
1315,4,288,404
1316,2,288,141
1317,2,288,141
1318,1,290,272
1319,1,290,149
1320,3,290,149
1321,1,290,350
1322,4,291,406
1323,2,291,11
1324,6,291,11
1325,13,291,11
1326,0,291,11
1327,0,291,11
1328,0,291,11
1329,0,291,11
1330,0,291,381
1331,6,292,263
1332,0,292,263
1333,2,292,263
1334,2,292,263
1335,1,292,147
1336,3,292,147
1337,4,293,404
1338,0,293,141
1339,4,293,404
1340,4,296,406
1341,6,296,11
1342,0,296,11
1343,0,297,381
1344,6,297,263
1345,0,297,263
1346,0,298,11
1347,13,298,11
1348,2,298,11
1349,6,298,11
1350,0,298,11
1351,0,298,11
1352,4,298,404
1353,0,298,141
1354,2,298,141
1355,1,298,149
1356,4,298,404
1357,1,298,224
1358,3,298,224
1359,1,299,387
1360,2,299,141
1361,4,302,406
1362,0,302,381
1363,3,302,39
1364,1,302,39
1365,6,302,263
1366,0,302,263
1367,2,303,263
1368,6,303,11
1369,0,303,11
1370,2,303,263
1371,0,303,11
1372,0,303,11
1373,1,303,95
1374,3,303,95
1375,0,304,141
1376,4,304,404
1377,0,304,11
1378,0,304,11
1379,2,304,141
1380,0,304,11
1381,2,304,141
1382,0,304,11
1383,0,304,11
1384,0,304,11
1385,0,304,11
1386,3,305,147
1387,1,305,147
1388,1,306,272
1389,3,306,272
1390,4,307,406
1391,0,308,381
1392,6,308,263
1393,0,308,263
1394,5,308,210
1395,9,308,210
1396,2,308,263
1397,5,308,457
1398,10,308,457
1399,2,308,263
1400,1,308,82
1401,3,308,82
1402,1,309,76
1403,3,309,76
1404,3,309,319
1405,1,309,319
1406,5,309,457
1407,10,309,457
1408,0,309,141
1409,4,309,404
1410,2,309,141
1411,5,309,210
1412,9,309,210
1413,4,309,404
1414,6,310,11
1415,0,310,11
1416,0,310,11
1417,0,310,11
1418,2,310,141
1419,0,310,11
1420,0,311,11
1421,0,311,11
1422,0,311,11
1423,0,311,11
1424,0,311,11
1425,0,312,11
1426,1,312,149
1427,4,313,406
1428,0,313,381
1429,6,313,263
1430,0,313,263
1431,2,313,263
1432,0,314,263
1433,9,314,210
1434,5,314,210
1435,2,314,263
1436,5,314,210
1437,9,314,210
1438,0,314,141
1439,2,315,141
1440,4,315,404
1441,4,315,404
1442,2,315,141
1443,1,316,147
1444,6,317,11
1445,0,317,11
1446,0,317,11
1447,21,317,197
1448,0,317,197
1449,13,317,197
1450,6,317,197
1451,2,317,197
1452,1,317,350
1453,1,317,272
1454,3,317,272
1455,3,317,224
1456,1,317,224
1457,5,317,457
1458,10,317,457
1459,9,318,210
1460,5,318,210
1461,9,318,210
1462,5,318,210
1463,0,318,381
1464,4,318,406
1465,5,319,210
1466,9,319,210
1467,6,319,263
1468,0,319,263
1469,2,319,263
1470,2,319,263
1471,5,319,210
1472,9,319,210
1473,0,320,141
1474,4,320,404
1475,4,321,404
1476,10,321,457
1477,6,322,11
1478,0,322,11
1479,1,322,346
1480,3,322,346
1481,6,322,197
1482,0,322,197
1483,0,323,11
1484,2,323,11
1485,6,323,11
1486,13,323,11
1487,5,323,451
1488,10,323,451
1489,0,324,381
1490,4,324,406
1491,6,324,263
1492,0,324,263
1493,8,325,451
1494,10,325,451
1495,0,325,141
1496,2,325,141
1497,4,326,404
1498,4,326,404
1499,2,326,141
1500,6,328,197
1501,0,328,197
1502,6,328,11
1503,0,328,11
1504,1,328,201
1505,1,328,149
1506,0,329,381
1507,6,329,263
1508,4,330,406
1509,0,330,263
1510,5,330,457
1511,2,330,263
1512,2,330,263
1513,0,331,141
1514,2,331,141
1515,1,331,346
1516,3,331,346
1517,2,331,141
1518,4,331,404
1519,4,332,404
1520,1,332,39
1521,3,332,39
1522,6,333,197
1523,0,333,197
1524,1,333,349
1525,3,333,349
1526,1,333,201
1527,1,333,387
1528,1,333,350
1529,1,334,147
1530,1,334,149
1531,8,334,257
1532,6,334,257
1533,16,334,257
1534,7,334,257
1535,10,334,257
1536,15,334,257
1537,14,334,257
1538,0,335,381
1539,6,335,263
1540,0,335,263
1541,4,335,406
1542,2,335,263
1543,2,335,263
1544,0,336,141
1545,4,337,404
1546,4,337,404
1547,0,338,201
1548,6,339,197
1549,0,339,197
1550,0,340,381
1551,6,340,263
1552,0,340,263
1553,4,341,406
1554,1,341,349
1555,6,341,257
1556,0,341,141
1557,2,342,141
1558,2,342,141
1559,1,342,147
1560,1,342,149
1561,3,342,149
1562,1,342,188
1563,3,342,188
1564,4,342,404
1565,4,343,404
1566,6,344,197
1567,0,344,197
1568,0,345,381
1569,5,346,457
1570,10,346,457
1571,4,346,406
1572,0,347,141
1573,2,347,141
1574,2,347,141
1575,1,347,149
1576,4,348,404
1577,4,348,404
1578,3,349,387
1579,1,349,387
1580,6,349,197
1581,0,349,197
1582,0,351,381
1583,4,352,406
1584,0,352,141
1585,3,352,39
1586,1,352,39
1587,2,352,141
1588,2,353,141
1589,4,353,404
1590,5,354,457
1591,10,354,457
1592,6,355,197
1593,0,355,197
1594,18,355,260
1595,1,356,272
1596,1,356,147
1597,0,356,381
1598,4,357,406
1599,5,357,466
1600,0,358,141
1601,2,358,141
1602,7,358,466
1603,2,358,141
1604,10,358,457
1605,8,359,451
1606,9,359,451
1607,7,359,451
1608,4,359,404
1609,3,360,149
1610,1,360,149
1611,6,360,197
1612,0,360,197
1613,0,362,381
1614,5,363,54
1615,9,363,54
1616,4,363,406
1617,0,363,141
1618,7,363,466
1619,4,364,404
1620,4,365,404
1621,3,365,39
1622,1,365,39
1623,6,366,197
1624,0,366,197
1625,3,366,224
1626,1,366,224
1627,1,366,147
1628,3,366,147
1629,1,366,292
1630,3,366,292
1631,1,366,387
1632,1,366,272
1633,3,366,387
1634,3,366,272
1635,3,366,149
1636,1,366,149
1637,0,367,381
1638,1,367,188
1639,3,367,188
1640,4,368,406
1641,0,368,141
1642,2,369,141
1643,2,369,141
1644,1,370,350
1645,3,370,350
1646,4,370,404
1647,1,371,349
1648,3,371,349
1649,6,371,197
1650,0,371,197
1651,5,372,466
1652,8,372,257
1653,0,372,381
1654,4,374,406
1655,0,374,141
1656,2,374,141
1657,5,374,466
1658,2,374,141
1659,1,375,387
1660,4,376,404
1661,4,376,404
1662,6,376,197
